PV System,Installed Cost,Battery Capacity
SouthRoof,86901,30
SouthRoof,89772,40
SouthRoof,92644,50
SouthRoof,95516,60
SouthRoof,98388,70
SouthRoof,101260,80
SouthRoof+Overhang,110106,30
SouthRoof+Overhang,112978,40
SouthRoof+Overhang,115850,50
SouthRoof+Overhang,118721,60
SouthRoof+Overhang,121593,70
SouthRoof+Overhang,124465,80
2SidedRoof,142982,30
2SidedRoof,145854,40
2SidedRoof,148725,50
2SidedRoof,151597,60
2SidedRoof,154469,70
2SidedRoof,157341,80
2SidedRoof+Overhang,176021,30
2SidedRoof+Overhang,178742,40
2SidedRoof+Overhang,181478,50
2SidedRoof+Overhang,184222,60
2SidedRoof+Overhang,187496,70
2SidedRoof+Overhang,190239,80
