Year,Baseline Annual Costs Savings,Baseline Diesel Capex Saving,Solar PV + Battery Capex,Building Upgrade Capex,Excess Energy Sold,Solar PV Opex,Diesel Generator OPEX,Annual Sum
0,9000,10000,-118721,-10000,3501.984029,-1187.21,1000,-106406.226
1,9000,,,,3492.329468,-1187.21,1000,12305.11947
2,9000,,,,3444.422363,-1187.21,1000,12257.21236
3,9000,,,,3416.249601,-1187.21,1000,12229.0396
4,9000,,,,3388.124382,-1187.21,1000,12200.91438
5,9000,,,,3377.721068,-1187.21,1000,12190.51107
6,9000,,,,3331.747667,-1187.21,1000,12144.53767
7,9000,,,,3303.632677,-1187.21,1000,12116.42268
8,9000,,,,3275.543129,-1187.21,1000,12088.33313
9,9000,,,,3262.555144,-1187.21,1000,12075.34514
10,9000,,,,3219.324032,-1187.21,1000,12032.11403
11,9000,,,,3191.299156,-1187.21,1000,12004.08916
12,9000,,,,3163.278936,-1187.21,1000,11976.06894
13,9000,,,,3150.127335,-1187.21,1000,11962.91734
14,9000,,,,3107.1858,-1187.21,1000,11919.9758
15,9000,,,,3079.218861,-1187.21,1000,11892.00886
16,9000,,,,3051.262665,-1187.21,1000,11864.05267
17,9000,,,,3037.832548,-1187.21,1000,11850.62255
18,9000,,,,2995.24831,-1187.21,1000,11808.03831
19,9000,,,,2967.322172,-1187.21,1000,11780.11217
20,9000,,,,2939.420272,-1187.21,1000,11752.21027
21,9000,,,,2925.427982,-1187.21,1000,11738.21798
22,9000,,,,2883.562557,-1187.21,1000,11696.35256
23,9000,,,,2855.742117,-1187.21,1000,11668.53212
24,9000,,,,2740.940117,-1187.21,1000,11553.73012
